ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1430599406.80495,pg_catalog,pg_type,pg_type_typname_nsp_index,233,47,47,9,823
1430599406.80495,pg_catalog,pg_type,pg_type_oid_index,1174,1001,1001,11,2609
1430599406.80495,public,warehouse,pk_warehouse,0,0,0,1,10
1430599406.80495,public,stock,pk_stock,302,136,136,180,909
1430599406.80495,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1430599406.80495,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1430599406.80495,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1430599406.80495,pg_toast,pg_toast_2618,pg_toast_2618_index,62,193,193,4,61
1430599406.80495,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1430599406.80495,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1430599406.80495,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1430599406.80495,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1430599406.80495,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1430599406.80495,public,customer,pk_customer,14,14,14,13,57
1430599406.80495,public,customer,i_customer,3,63,63,10,27
1430599406.80495,pg_catalog,pg_authid,pg_authid_oid_index,4829,4829,4829,114,9544
1430599406.80495,pg_catalog,pg_authid,pg_authid_rolname_index,4574,4574,4574,80,9068
1430599406.80495,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,40,71,71,17,105
1430599406.80495,pg_catalog,pg_proc,pg_proc_oid_index,218,212,212,13,487
1430599406.80495,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_constraint,pg_constraint_oid_index,8,0,0,2,22
1430599406.80495,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2,14
1430599406.80495,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,2,14
1430599406.80495,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2,14
1430599406.80495,pg_catalog,pg_index,pg_index_indexrelid_index,651,651,651,6,759
1430599406.80495,pg_catalog,pg_index,pg_index_indrelid_index,380,619,619,6,469
1430599406.80495,pg_catalog,pg_operator,pg_operator_oprname_l_r_n_index,123,1306,1306,8,279
1430599406.80495,pg_catalog,pg_operator,pg_operator_oid_index,123,123,123,12,275
1430599406.80495,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_opclass,pg_opclass_oid_index,257,257,257,6,338
1430599406.80495,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,100,4325,4325,6,115
1430599406.80495,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_amop,pg_amop_opr_fam_index,88,160,160,11,206
1430599406.80495,pg_catalog,pg_amop,pg_amop_fam_strat_index,169,169,169,10,369
1430599406.80495,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,257,421,421,9,592
1430599406.80495,pg_catalog,pg_language,pg_language_oid_index,5,5,5,2,9
1430599406.80495,pg_catalog,pg_language,pg_language_name_index,5,5,5,2,9
1430599406.80495,public,new_order,pk_new_order,0,0,0,7,12
1430599406.80495,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,3,3,3,2,4
1430599406.80495,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,2,2,2,2,2
1430599406.80495,pg_catalog,pg_rewrite,pg_rewrite_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,27,0,0,2,25
1430599406.80495,pg_catalog,pg_description,pg_description_o_c_o_index,252,0,0,6,501
1430599406.80495,pg_catalog,pg_cast,pg_cast_source_target_index,1753,344,344,6,1784
1430599406.80495,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_enum,pg_enum_typid_sortorder_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_enum,pg_enum_typid_label_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_enum,pg_enum_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_namespace,pg_namespace_oid_index,14,14,14,5,24
1430599406.80495,pg_catalog,pg_namespace,pg_namespace_nspname_index,186,106,106,6,260
1430599406.80495,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_depend,pg_depend_reference_index,2227,2206,1995,26,5160
1430599406.80495,pg_catalog,pg_depend,pg_depend_depender_index,504,512,512,13,1724
1430599406.80495,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,25228,0,0,56,25172
1430599406.80495,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,18,17
1430599406.80495,pg_catalog,pg_tablespace,pg_tablespace_oid_index,3544,3544,3544,78,7009
1430599406.80495,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_shdepend,pg_shdepend_reference_index,936,936,936,46,1078
1430599406.80495,pg_catalog,pg_shdepend,pg_shdepend_depender_index,2806,0,0,46,2816
1430599406.80495,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,11,0,0,23,0
1430599406.80495,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1430599406.80495,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
