ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1430599406.78467,pg_catalog,pg_operator,3,2295,246,1429,0,0,0,0,765,0,42,1001,20,554,,,,
1430599406.78467,pg_catalog,pg_extension,3,3,0,0,0,0,0,0,1,0,2,2,0,0,,,,
1430599406.78467,pg_catalog,pg_authid,401,401,9403,9403,0,0,0,0,1,0,57,9758,194,18612,,,,
1430599406.78467,public,customer,6,360000,17,77,60000,4,0,0,60000,4,27765,18722,23,84,,,,
1430599406.78467,pg_catalog,pg_statistic,2,798,1180,1001,92,399,0,180,92,297,60,1965,13,3016,32,292,4,252
1430599406.78467,pg_catalog,pg_opfamily,3,258,0,0,0,0,0,0,86,0,4,4,0,0,,,,
1430599406.78467,pg_catalog,pg_shdescription,26,75,11,0,0,0,0,0,3,0,23,14,23,0,0,0,0,0
1430599406.78467,pg_catalog,pg_event_trigger,3,0,27,0,0,0,0,0,0,0,0,0,2,25,,,,
1430599406.78467,pg_catalog,pg_user_mapping,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430599406.78467,pg_catalog,pg_inherits,3,0,84,0,0,0,0,0,0,0,0,0,2,82,,,,
1430599406.78467,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430599406.78467,pg_catalog,pg_rewrite,3,327,2,2,0,0,0,0,109,0,23,23,2,2,45,39,8,122
1430599406.78467,pg_catalog,pg_foreign_data_wrapper,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430599406.78467,pg_catalog,pg_largeobject_metadata,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430599406.78467,pg_catalog,pg_opclass,7,388,357,4582,0,0,0,0,128,0,9,1624,12,453,,,,
1430599406.78467,pg_catalog,pg_attrdef,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430599406.78467,pg_catalog,pg_default_acl,3,0,59,0,0,0,0,0,0,0,0,0,2,57,,,,
1430599406.78467,pg_catalog,pg_aggregate,2,266,3,3,0,0,0,0,133,0,5,4,2,4,,,,
1430599406.78467,pg_toast,pg_toast_12329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
